label,label_id
Malware_Merge/Adialer.C,0
Malware_Merge/Agent.FYI,1
Malware_Merge/Allaple.A,2
Malware_Merge/Allaple.L,3
Malware_Merge/Alueron.gen!J,4
Malware_Merge/C2LOP.P,5
Malware_Merge/C2LOP.gen!g,6
Malware_Merge/CoinMinerXMRig,7
Malware_Merge/Danabot,8
Malware_Merge/Dialplatform.B,9
Malware_Merge/Dontovo.A,10
Malware_Merge/Dridex,11
Malware_Merge/Fakerean,12
Malware_Merge/Gh0stRAT,13
Malware_Merge/Glupteba,14
Malware_Merge/Gozi,15
Malware_Merge/Instantaccess,16
Malware_Merge/Lolyda.AA1,17
Malware_Merge/Lolyda.AA2,18
Malware_Merge/Lolyda.AA3,19
Malware_Merge/Lolyda.AT,20
Malware_Merge/Malex.gen!J,21
Malware_Merge/NanoCore,22
Malware_Merge/Obfuscator.AD,23
Malware_Merge/Quakbot,24
Malware_Merge/Rbot!gen,25
Malware_Merge/Remcos,26
Malware_Merge/Skintrim.N,27
Malware_Merge/Swizzor.gen!E,28
Malware_Merge/Swizzor.gen!I,29
Malware_Merge/Tinba,30
Malware_Merge/Trickbot,31
Malware_Merge/VB.AT,32
Malware_Merge/Wintrim.BX,33
Malware_Merge/Zeus,34
